age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date
25,17702.98,728,10219.75,21.34,3,10.1,9816.53,1,3150.6,Male,Full-Time,High School,Home,Central,,2017,36,23/4/2017
56,40237.65,677,9830.17,33.47,2,1,2083.88,3,8615.89,Male,Full-Time,Bachelor,Home,South,Married,2015,48,16/5/2015
28,86411.51,650,36074.35,67.85,5,4.2,17977.31,1,16252.46,Male,Full-Time,Bachelor,Personal,North,Single,2014,36,3/9/2014
70,36382.46,544,40899.06,35.5,0,3.4,12344.64,8,13476.99,Female,Full-Time,High School,Business,East,Married,2015,84,3/12/2015
53,49737.48,502,7423.23,12.35,2,1,579.76,1,14278.52,Female,Self-Employed,Bachelor,Car,West,Widowed,2019,48,25/12/2019
41,82311.42,599,8738.95,14.17,5,5.5,8446.95,9,29799.29,Male,Full-Time,High School,Personal,South,Married,2020,12,6/3/2020
38,98674.93,463,23645.88,20.96,1,2,2766.44,8,35949.54,Male,Full-Time,High School,Home,Central,Single,2023,60,18/10/2023
59,30297.39,546,17378.13,8.02,5,6.8,3621.75,3,10689.57,Female,Full-Time,High School,Medical,West,Single,2019,48,8/5/2019
33,40074.04,680,37115.06,55.89,2,4.3,3884.68,9,8682.43,Female,Full-Time,,Education,East,,2010,36,18/2/2010
69,49667.48,627,15060.27,19.91,4,7,17192.51,0,13644.89,Male,Full-Time,,Business,Central,Single,2016,24,3/2/2016
38,31735.09,543,29514.34,36.54,6,4.8,3126.72,4,7549.15,Male,Full-Time,PhD,Home,East,Single,2015,36,10/3/2015
31,,649,21632.22,35.84,4,10.1,3057.97,3,,Male,Self-Employed,Master,Home,East,Single,2017,60,19/10/2017
19,53723.54,628,8708.46,60.35,,,626.54,4,,Female,Full-Time,,Education,East,Single,2020,60,8/7/2020
37,25360.51,690,16885.83,35.23,2,0.9,743.25,7,4837.27,Female,Unemployed,Bachelor,Business,Central,Married,2012,36,16/6/2012
45,36883.14,690,5752.26,5.45,2,8.1,2592.59,3,12486.19,Male,Full-Time,PhD,Business,Central,Married,2024,36,19/6/2024
64,69118.77,702,12748.25,12.12,2,2.8,8328.81,2,27606.17,Non-Binary,Part-Time,PhD,Education,East,Divorced,2017,36,18/2/2017
24,60229.48,680,19761.51,31.64,2,2.2,17402.1,1,16901.5,Female,Unemployed,High School,Education,Central,Married,2010,60,19/4/2010
19,59272.87,835,9072.48,5.69,5,10,2271.04,8,12714.21,Female,Full-Time,Bachelor,Car,South,Married,2015,36,13/3/2015
59,62515.04,850,4558.74,33.28,6,4,2344.85,9,13390.15,Male,Full-Time,Bachelor,Home,West,Single,2018,24,28/2/2018
71,54438.47,682,2163.56,21.29,2,3.3,6176.34,2,12770.04,Male,Full-Time,Bachelor,Medical,Central,Single,2019,36,10/12/2019
51,26886.63,680,79155.76,25.61,0,0.2,2925.83,6,,Non-Binary,Full-Time,Bachelor,Business,West,Married,2024,48,10/7/2024
